utterance_id	source_clip_id	target_terms	transcript	synthesis_text
kcv1_001	synthetic_kokoro_compositional_v1	CodeHawk	CodeHawk rebuilt the index after the schema changed.	Code Hawk rebuilt the index after the schema changed.
kcv1_002	synthetic_kokoro_compositional_v1	IndexBridge	The worker sent the failed batch back to IndexBridge.	The worker sent the failed batch back to Index Bridge.
kcv1_003	synthetic_kokoro_compositional_v1	CloudBeacon	CloudBeacon flagged the regression during the canary rollout.	Cloud Beacon flagged the regression during the canary rollout.
kcv1_004	synthetic_kokoro_compositional_v1	DeployStone	We moved the retry policy into DeployStone yesterday.	We moved the retry policy into Deploy Stone yesterday.
kcv1_005	synthetic_kokoro_compositional_v1	VectorVault	The dashboard reads its latency estimate from VectorVault.	The dashboard reads its latency estimate from Vector Vault.
kcv1_006	synthetic_kokoro_compositional_v1	EvalHarbor	EvalHarbor rejected the payload before it reached production.	Eval Harbor rejected the payload before it reached production.
kcv1_007	synthetic_kokoro_compositional_v1	DeployGrid	The deployment called DeployGrid after the health check failed.	The deployment called Deploy Grid after the health check failed.
kcv1_008	synthetic_kokoro_compositional_v1	QueueSparrow	QueueSparrow stored the trace alongside the model response.	Queue Sparrow stored the trace alongside the model response.
kcv1_009	synthetic_kokoro_compositional_v1	DataWeaver	The queue drained normally once DataWeaver recovered.	The queue drained normally once Data Weaver recovered.
kcv1_010	synthetic_kokoro_compositional_v1	DataLens	DataLens compared the new output with the saved baseline.	Data Lens compared the new output with the saved baseline.
kcv1_011	synthetic_kokoro_compositional_v1	MetricHub	The service loads MetricHub before opening the event stream.	The service loads Metric Hub before opening the event stream.
kcv1_012	synthetic_kokoro_compositional_v1	AgentSparrow	AgentSparrow raised an alert when the cache became stale.	Agent Sparrow raised an alert when the cache became stale.
kcv1_013	synthetic_kokoro_compositional_v1	SchemaCore	SchemaCore rebuilt the index after the schema changed.	Schema Core rebuilt the index after the schema changed.
kcv1_014	synthetic_kokoro_compositional_v1	DataKite	The worker sent the failed batch back to DataKite.	The worker sent the failed batch back to Data Kite.
kcv1_015	synthetic_kokoro_compositional_v1	LogFlow	LogFlow flagged the regression during the canary rollout.	Log Flow flagged the regression during the canary rollout.
kcv1_016	synthetic_kokoro_compositional_v1	BatchForge	We moved the retry policy into BatchForge yesterday.	We moved the retry policy into Batch Forge yesterday.
kcv1_017	synthetic_kokoro_compositional_v1	RouteStack	The dashboard reads its latency estimate from RouteStack.	The dashboard reads its latency estimate from Route Stack.
kcv1_018	synthetic_kokoro_compositional_v1	ModelRiver	ModelRiver rejected the payload before it reached production.	Model River rejected the payload before it reached production.
kcv1_019	synthetic_kokoro_compositional_v1	LogCrest	The deployment called LogCrest after the health check failed.	The deployment called Log Crest after the health check failed.
kcv1_020	synthetic_kokoro_compositional_v1	ShardRiver	ShardRiver stored the trace alongside the model response.	Shard River stored the trace alongside the model response.
kcv1_021	synthetic_kokoro_compositional_v1	GraphCove	The queue drained normally once GraphCove recovered.	The queue drained normally once Graph Cove recovered.
kcv1_022	synthetic_kokoro_compositional_v1	SchemaHarbor	SchemaHarbor compared the new output with the saved baseline.	Schema Harbor compared the new output with the saved baseline.
kcv1_023	synthetic_kokoro_compositional_v1	SchemaGuard	The service loads SchemaGuard before opening the event stream.	The service loads Schema Guard before opening the event stream.
kcv1_024	synthetic_kokoro_compositional_v1	StreamSpire	StreamSpire raised an alert when the cache became stale.	Stream Spire raised an alert when the cache became stale.
kcv1_025	synthetic_kokoro_compositional_v1	LogWatch	LogWatch rebuilt the index after the schema changed.	Log Watch rebuilt the index after the schema changed.
kcv1_026	synthetic_kokoro_compositional_v1	ShardCore	The worker sent the failed batch back to ShardCore.	The worker sent the failed batch back to Shard Core.
kcv1_027	synthetic_kokoro_compositional_v1	QueueCore	QueueCore flagged the regression during the canary rollout.	Queue Core flagged the regression during the canary rollout.
kcv1_028	synthetic_kokoro_compositional_v1	VectorWeaver	We moved the retry policy into VectorWeaver yesterday.	We moved the retry policy into Vector Weaver yesterday.
kcv1_029	synthetic_kokoro_compositional_v1	EvalMason	The dashboard reads its latency estimate from EvalMason.	The dashboard reads its latency estimate from Eval Mason.
kcv1_030	synthetic_kokoro_compositional_v1	ToolMesh	ToolMesh rejected the payload before it reached production.	Tool Mesh rejected the payload before it reached production.
kcv1_031	synthetic_kokoro_compositional_v1	SignalRiver	The deployment called SignalRiver after the health check failed.	The deployment called Signal River after the health check failed.
kcv1_032	synthetic_kokoro_compositional_v1	ToolPilot	ToolPilot stored the trace alongside the model response.	Tool Pilot stored the trace alongside the model response.
kcv1_033	synthetic_kokoro_compositional_v1	AgentNest	The queue drained normally once AgentNest recovered.	The queue drained normally once Agent Nest recovered.
kcv1_034	synthetic_kokoro_compositional_v1	LatticeBridge	LatticeBridge compared the new output with the saved baseline.	Lattice Bridge compared the new output with the saved baseline.
kcv1_035	synthetic_kokoro_compositional_v1	TraceKite	The service loads TraceKite before opening the event stream.	The service loads Trace Kite before opening the event stream.
kcv1_036	synthetic_kokoro_compositional_v1	SchemaStone	SchemaStone raised an alert when the cache became stale.	Schema Stone raised an alert when the cache became stale.
kcv1_037	synthetic_kokoro_compositional_v1	MemoryLatch	MemoryLatch rebuilt the index after the schema changed.	Memory Latch rebuilt the index after the schema changed.
kcv1_038	synthetic_kokoro_compositional_v1	StreamStone	The worker sent the failed batch back to StreamStone.	The worker sent the failed batch back to Stream Stone.
kcv1_039	synthetic_kokoro_compositional_v1	BatchMesh	BatchMesh flagged the regression during the canary rollout.	Batch Mesh flagged the regression during the canary rollout.
kcv1_040	synthetic_kokoro_compositional_v1	CodeTrail	We moved the retry policy into CodeTrail yesterday.	We moved the retry policy into Code Trail yesterday.
kcv1_041	synthetic_kokoro_compositional_v1	QueueAnchor	The dashboard reads its latency estimate from QueueAnchor.	The dashboard reads its latency estimate from Queue Anchor.
