clip_id	speaker_id	speaker_partition	split	condition	category	audio_path	duration_seconds	size_bytes	transcript_status
s01_001	s01	train_speaker	train	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_001.wav	6.113500	195710	expected_reference_from_frozen_script
s01_002	s01	train_speaker	train	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_002.wav	6.313500	202110	expected_reference_from_frozen_script
s01_003	s01	train_speaker	train	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_003.wav	5.153500	164990	expected_reference_from_frozen_script
s01_004	s01	train_speaker	train	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_004.wav	7.493500	239870	expected_reference_from_frozen_script
s01_005	s01	train_speaker	train	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_005.wav	6.813500	218110	expected_reference_from_frozen_script
s01_006	s01	train_speaker	train	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_006.wav	5.253500	168190	expected_reference_from_frozen_script
s01_007	s01	train_speaker	train	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_007.wav	5.793500	185470	expected_reference_from_frozen_script
s01_008	s01	train_speaker	train	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_008.wav	6.053500	193790	expected_reference_from_frozen_script
s01_009	s01	train_speaker	heldout_real	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_009.wav	5.993500	191870	expected_reference_from_frozen_script
s01_010	s01	train_speaker	heldout_real	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_010.wav	6.093500	195070	expected_reference_from_frozen_script
s01_011	s01	train_speaker	heldout_real	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_011.wav	5.013500	160510	expected_reference_from_frozen_script
s01_012	s01	train_speaker	heldout_real	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_012.wav	5.253500	168190	expected_reference_from_frozen_script
s01_013	s01	train_speaker	heldout_real	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_013.wav	5.673500	181630	expected_reference_from_frozen_script
s01_014	s01	train_speaker	heldout_real	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_014.wav	6.193500	198270	expected_reference_from_frozen_script
s01_015	s01	train_speaker	heldout_fake	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_015.wav	5.273500	168830	expected_reference_from_frozen_script
s01_016	s01	train_speaker	heldout_fake	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_016.wav	4.273500	136830	expected_reference_from_frozen_script
s01_017	s01	train_speaker	heldout_fake	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_017.wav	5.413500	173310	expected_reference_from_frozen_script
s01_018	s01	train_speaker	heldout_fake	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_018.wav	6.693500	214270	expected_reference_from_frozen_script
s01_019	s01	train_speaker	heldout_fake	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_019.wav	6.033500	193150	expected_reference_from_frozen_script
s01_020	s01	train_speaker	heldout_fake	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_020.wav	4.253500	136190	expected_reference_from_frozen_script
s01_021	s01	train_speaker	train	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_021.wav	5.733500	183550	expected_reference_from_frozen_script
s01_022	s01	train_speaker	train	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_022.wav	5.093500	163070	expected_reference_from_frozen_script
s01_023	s01	train_speaker	train	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_023.wav	6.113500	195710	expected_reference_from_frozen_script
s01_024	s01	train_speaker	train	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_024.wav	6.933500	221950	expected_reference_from_frozen_script
s01_025	s01	train_speaker	train	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_025.wav	5.333500	170750	expected_reference_from_frozen_script
s01_026	s01	train_speaker	train	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_026.wav	5.773500	184830	expected_reference_from_frozen_script
s01_027	s01	train_speaker	train	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_027.wav	7.973500	255230	expected_reference_from_frozen_script
s01_028	s01	train_speaker	train	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_028.wav	6.493500	207870	expected_reference_from_frozen_script
s01_029	s01	train_speaker	heldout_real	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_029.wav	5.593500	179070	expected_reference_from_frozen_script
s01_030	s01	train_speaker	heldout_real	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_030.wav	5.933500	189950	expected_reference_from_frozen_script
s01_031	s01	train_speaker	heldout_real	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_031.wav	6.173500	197630	expected_reference_from_frozen_script
s01_032	s01	train_speaker	heldout_real	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_032.wav	6.353500	203390	expected_reference_from_frozen_script
s01_033	s01	train_speaker	heldout_real	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_033.wav	5.573500	178430	expected_reference_from_frozen_script
s01_034	s01	train_speaker	heldout_real	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_034.wav	6.553500	209790	expected_reference_from_frozen_script
s01_035	s01	train_speaker	heldout_fake	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_035.wav	5.713500	182910	expected_reference_from_frozen_script
s01_036	s01	train_speaker	heldout_fake	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_036.wav	5.953500	190590	expected_reference_from_frozen_script
s01_037	s01	train_speaker	heldout_fake	whatsapp_opus	mixed_technical_dictation	audio/converted/s01/s01_037.wav	4.953500	158590	expected_reference_from_frozen_script
