id	split	category	terms	utterance
tsb_v1_001	train	AI evals and model behavior	OpenAI API;Whisper	Send the audio sample through Whisper first, then score the OpenAI API summary for missing technical entities.
tsb_v1_002	train	backend services and deployment	FastAPI;Uvicorn	Note that the FastAPI health endpoint only fails when Uvicorn starts with multiple workers.
tsb_v1_003	train	configuration and environment files	.env;JWT	Move the JWT secret into .env and make the startup check fail when it is missing.
tsb_v1_004	train	commands and file names	curl;OpenAPI	Use curl against the staging endpoint and confirm the OpenAPI response still includes pagination fields.
tsb_v1_005	train	data pipelines and queues	Celery;RabbitMQ	The Celery worker is retrying too aggressively after RabbitMQ drops a connection during the batch import.
tsb_v1_006	train	vector databases and retrieval	FAISS;ChromaDB	Record a retrieval note saying FAISS returns closer matches than ChromaDB on the short support questions.
tsb_v1_007	train	CI/CD and testing	GitHub;CI/CD	The GitHub workflow passes locally but the CI/CD job loses the generated coverage artifact.
tsb_v1_008	train	configuration and environment files	tsconfig.json;TypeScript	Tighten tsconfig.json so TypeScript rejects implicit any in the shared validation package.
tsb_v1_009	train	backend services and deployment	Docker;NGINX	The Docker container starts, but NGINX returns a stale upstream error after the deploy.
tsb_v1_010	train	AI evals and model behavior	TensorFlow;scikit-learn	The TensorFlow baseline overfits faster than scikit-learn on the small tabular feature set.
tsb_v1_011	train	agent systems and tool calls	LangChain;REST API	Add a LangChain tool call that fetches the REST API status before answering the user.
tsb_v1_012	train	messy spoken corrections	Dockerfile;requirements.txt	Update the Dockerfile to copy requirements.txt earlier, actually replace that with a cache-friendly install step.
tsb_v1_013	train	commands and file names	bash;package.json	Write the bash script so it reads the version from package.json before tagging the release.
tsb_v1_014	train	observability and metrics	Flask;Gunicorn	The Flask latency spike only appears when Gunicorn recycles workers under sustained traffic.
tsb_v1_015	train	data pipelines and queues	Kafka;Pandas	Export the Kafka sample into Pandas and inspect whether null timestamps are causing the join drift.
tsb_v1_016	train	vector databases and retrieval	Pinecone;Weaviate	Pinecone retrieves the exact document title, while Weaviate ranks the chunk with the better explanation.
tsb_v1_017	train	LLM infra and serving	CUDA;ONNX	Check whether the CUDA path and the ONNX export produce matching logits on the same input.
tsb_v1_018	train	backend services and deployment	Node.js;GraphQL	The Node.js resolver should reject empty GraphQL filters instead of returning every record.
tsb_v1_019	train	configuration and environment files	docker-compose.yml;Redis	In docker-compose.yml, pin Redis to a stable image and expose only the internal network.
tsb_v1_020	train	CI/CD and testing	PyTorch;GitLab	The PyTorch smoke test passes on my machine but fails inside the GitLab runner.
tsb_v1_021	train	commands and file names	systemctl;NGINX	Use systemctl to restart NGINX after writing the generated site config.
tsb_v1_022	train	AI evals and model behavior	Anthropic API;transformers	Compare the transformers local output with the Anthropic API answer on the same prompt.
tsb_v1_023	train	backend services and deployment	Kubernetes;MongoDB	The Kubernetes pod restarts when MongoDB takes longer than expected to accept connections.
tsb_v1_024	train	messy spoken corrections	SQLite;PostgreSQL	Store the prototype in SQLite, actually make the migration path to PostgreSQL explicit.
tsb_v1_025	train	vector databases and retrieval	Milvus;LlamaIndex	LlamaIndex sends the right query, but Milvus returns duplicate chunks from the same document.
tsb_v1_026	train	configuration and environment files	Makefile;zsh	Add a Makefile target that works from zsh without relying on shell-specific aliases.
tsb_v1_027	train	observability and metrics	OpenAPI;REST API	The OpenAPI spec says the REST API returns an array, but production returns an object.
tsb_v1_028	train	LLM infra and serving	TensorRT;Vosk	TensorRT improves the encoder latency, but Vosk still misses punctuation on short commands.
tsb_v1_029	train	commands and file names	wget;Dockerfile	Use wget in the Dockerfile only for the model checksum, not for runtime downloads.
