clip_id	speaker_id	source_codec	source_format	source_sample_rate	source_channels	source_duration_seconds	normalized_codec	normalized_sample_rate	normalized_channels	normalized_duration_seconds
s01_001	s01	opus	ogg	48000	1	6.126500	pcm_s16le	16000	1	6.113500
s01_002	s01	opus	ogg	48000	1	6.326500	pcm_s16le	16000	1	6.313500
s01_003	s01	opus	ogg	48000	1	5.166500	pcm_s16le	16000	1	5.153500
s01_004	s01	opus	ogg	48000	1	7.506500	pcm_s16le	16000	1	7.493500
s01_005	s01	opus	ogg	48000	1	6.826500	pcm_s16le	16000	1	6.813500
s01_006	s01	opus	ogg	48000	1	5.266500	pcm_s16le	16000	1	5.253500
s01_007	s01	opus	ogg	48000	1	5.806500	pcm_s16le	16000	1	5.793500
s01_008	s01	opus	ogg	48000	1	6.066500	pcm_s16le	16000	1	6.053500
s01_009	s01	opus	ogg	48000	1	6.006500	pcm_s16le	16000	1	5.993500
s01_010	s01	opus	ogg	48000	1	6.106500	pcm_s16le	16000	1	6.093500
s01_011	s01	opus	ogg	48000	1	5.026500	pcm_s16le	16000	1	5.013500
s01_012	s01	opus	ogg	48000	1	5.266500	pcm_s16le	16000	1	5.253500
s01_013	s01	opus	ogg	48000	1	5.686500	pcm_s16le	16000	1	5.673500
s01_014	s01	opus	ogg	48000	1	6.206500	pcm_s16le	16000	1	6.193500
s01_015	s01	opus	ogg	48000	1	5.286500	pcm_s16le	16000	1	5.273500
s01_016	s01	opus	ogg	48000	1	4.286500	pcm_s16le	16000	1	4.273500
s01_017	s01	opus	ogg	48000	1	5.426500	pcm_s16le	16000	1	5.413500
s01_018	s01	opus	ogg	48000	1	6.706500	pcm_s16le	16000	1	6.693500
s01_019	s01	opus	ogg	48000	1	6.046500	pcm_s16le	16000	1	6.033500
s01_020	s01	opus	ogg	48000	1	4.266500	pcm_s16le	16000	1	4.253500
s01_021	s01	opus	ogg	48000	1	5.746500	pcm_s16le	16000	1	5.733500
s01_022	s01	opus	ogg	48000	1	5.106500	pcm_s16le	16000	1	5.093500
s01_023	s01	opus	ogg	48000	1	6.126500	pcm_s16le	16000	1	6.113500
s01_024	s01	opus	ogg	48000	1	6.946500	pcm_s16le	16000	1	6.933500
s01_025	s01	opus	ogg	48000	1	5.346500	pcm_s16le	16000	1	5.333500
s01_026	s01	opus	ogg	48000	1	5.786500	pcm_s16le	16000	1	5.773500
s01_027	s01	opus	ogg	48000	1	7.986500	pcm_s16le	16000	1	7.973500
s01_028	s01	opus	ogg	48000	1	6.506500	pcm_s16le	16000	1	6.493500
s01_029	s01	opus	ogg	48000	1	5.606500	pcm_s16le	16000	1	5.593500
s01_030	s01	opus	ogg	48000	1	5.946500	pcm_s16le	16000	1	5.933500
s01_031	s01	opus	ogg	48000	1	6.186500	pcm_s16le	16000	1	6.173500
s01_032	s01	opus	ogg	48000	1	6.366500	pcm_s16le	16000	1	6.353500
s01_033	s01	opus	ogg	48000	1	5.586500	pcm_s16le	16000	1	5.573500
s01_034	s01	opus	ogg	48000	1	6.566500	pcm_s16le	16000	1	6.553500
s01_035	s01	opus	ogg	48000	1	5.726500	pcm_s16le	16000	1	5.713500
s01_036	s01	opus	ogg	48000	1	5.966500	pcm_s16le	16000	1	5.953500
s01_037	s01	opus	ogg	48000	1	4.966500	pcm_s16le	16000	1	4.953500
s01_038	s01	opus	ogg	48000	1	5.406500	pcm_s16le	16000	1	5.393500
s01_039	s01	opus	ogg	48000	1	5.846500	pcm_s16le	16000	1	5.833500
s01_040	s01	opus	ogg	48000	1	5.986500	pcm_s16le	16000	1	5.973500
s02_001	s02	opus	ogg	48000	1	5.186500	pcm_s16le	16000	1	5.173500
s02_002	s02	opus	ogg	48000	1	5.346500	pcm_s16le	16000	1	5.333500
s02_003	s02	opus	ogg	48000	1	4.406500	pcm_s16le	16000	1	4.393500
s02_004	s02	opus	ogg	48000	1	5.766500	pcm_s16le	16000	1	5.753500
s02_005	s02	opus	ogg	48000	1	5.246500	pcm_s16le	16000	1	5.233500
s02_006	s02	opus	ogg	48000	1	4.426500	pcm_s16le	16000	1	4.413500
s02_007	s02	opus	ogg	48000	1	5.246500	pcm_s16le	16000	1	5.233500
s02_008	s02	opus	ogg	48000	1	5.386500	pcm_s16le	16000	1	5.373500
s02_009	s02	opus	ogg	48000	1	4.866500	pcm_s16le	16000	1	4.853500
s02_010	s02	opus	ogg	48000	1	4.906500	pcm_s16le	16000	1	4.893500
s02_011	s02	opus	ogg	48000	1	4.026500	pcm_s16le	16000	1	4.013500
s02_012	s02	opus	ogg	48000	1	4.526500	pcm_s16le	16000	1	4.513500
s02_013	s02	opus	ogg	48000	1	4.666500	pcm_s16le	16000	1	4.653500
s02_014	s02	opus	ogg	48000	1	5.386500	pcm_s16le	16000	1	5.373500
s02_015	s02	opus	ogg	48000	1	5.186500	pcm_s16le	16000	1	5.173500
s02_016	s02	opus	ogg	48000	1	3.906500	pcm_s16le	16000	1	3.893500
s02_017	s02	opus	ogg	48000	1	4.486500	pcm_s16le	16000	1	4.473500
s02_018	s02	opus	ogg	48000	1	5.086500	pcm_s16le	16000	1	5.073500
s02_019	s02	opus	ogg	48000	1	5.226500	pcm_s16le	16000	1	5.213500
s02_020	s02	opus	ogg	48000	1	3.646500	pcm_s16le	16000	1	3.633500
s02_021	s02	opus	ogg	48000	1	5.326500	pcm_s16le	16000	1	5.313500
s02_022	s02	opus	ogg	48000	1	5.366500	pcm_s16le	16000	1	5.353500
s02_023	s02	opus	ogg	48000	1	4.666500	pcm_s16le	16000	1	4.653500
s02_024	s02	opus	ogg	48000	1	4.286500	pcm_s16le	16000	1	4.273500
s02_025	s02	opus	ogg	48000	1	5.166500	pcm_s16le	16000	1	5.153500
s02_026	s02	opus	ogg	48000	1	5.546500	pcm_s16le	16000	1	5.533500
s02_027	s02	opus	ogg	48000	1	4.206500	pcm_s16le	16000	1	4.193500
s02_028	s02	opus	ogg	48000	1	5.806500	pcm_s16le	16000	1	5.793500
s02_029	s02	opus	ogg	48000	1	3.646500	pcm_s16le	16000	1	3.633500
s02_030	s02	opus	ogg	48000	1	4.306500	pcm_s16le	16000	1	4.293500
s02_031	s02	opus	ogg	48000	1	3.886500	pcm_s16le	16000	1	3.873500
s02_032	s02	opus	ogg	48000	1	4.106500	pcm_s16le	16000	1	4.093500
s02_033	s02	opus	ogg	48000	1	4.866500	pcm_s16le	16000	1	4.853500
s02_034	s02	opus	ogg	48000	1	4.286500	pcm_s16le	16000	1	4.273500
s02_035	s02	opus	ogg	48000	1	3.726500	pcm_s16le	16000	1	3.713500
s02_036	s02	opus	ogg	48000	1	4.486500	pcm_s16le	16000	1	4.473500
s02_037	s02	opus	ogg	48000	1	4.366500	pcm_s16le	16000	1	4.353500
s02_038	s02	opus	ogg	48000	1	4.926500	pcm_s16le	16000	1	4.913500
s02_039	s02	opus	ogg	48000	1	4.626500	pcm_s16le	16000	1	4.613500
s02_040	s02	opus	ogg	48000	1	4.486500	pcm_s16le	16000	1	4.473500
s03_001	s03	opus	ogg	48000	1	6.726500	pcm_s16le	16000	1	6.713500
s03_002	s03	opus	ogg	48000	1	7.346500	pcm_s16le	16000	1	7.333500
s03_003	s03	opus	ogg	48000	1	7.306500	pcm_s16le	16000	1	7.293500
