clip_id	speaker_id	split	condition	category	audio_path	duration_seconds	size_bytes	transcript_status
tsb_v1_001	anshul	train	quiet	AI evals and model behavior	data/v1-small/tsb_v1-small-train/tsb_v1_001.m4a	8.939	147563	expected_reference_from_manifest
tsb_v1_002	anshul	train	quiet	backend services and deployment	data/v1-small/tsb_v1-small-train/tsb_v1_002.m4a	6.891	114767	expected_reference_from_manifest
tsb_v1_003	anshul	train	quiet	configuration and environment files	data/v1-small/tsb_v1-small-train/tsb_v1_003.m4a	7.317	122411	expected_reference_from_manifest
tsb_v1_004	anshul	train	quiet	commands and file names	data/v1-small/tsb_v1-small-train/tsb_v1_004.m4a	9.195	154048	expected_reference_from_manifest
tsb_v1_005	anshul	train	quiet	data pipelines and queues	data/v1-small/tsb_v1-small-train/tsb_v1_005.m4a	7.403	122794	expected_reference_from_manifest
tsb_v1_006	anshul	train	quiet	vector databases and retrieval	data/v1-small/tsb_v1-small-train/tsb_v1_006.m4a	9.024	150021	expected_reference_from_manifest
tsb_v1_007	anshul	train	quiet	CI/CD and testing	data/v1-small/tsb_v1-small-train/tsb_v1_007.m4a	8.000	131708	expected_reference_from_manifest
tsb_v1_008	anshul	train	quiet	configuration and environment files	data/v1-small/tsb_v1-small-train/tsb_v1_008.m4a	9.024	151498	expected_reference_from_manifest
tsb_v1_009	anshul	train	quiet	backend services and deployment	data/v1-small/tsb_v1-small-train/tsb_v1_009.m4a	9.024	151264	expected_reference_from_manifest
tsb_v1_010	anshul	train	quiet	AI evals and model behavior	data/v1-small/tsb_v1-small-train/tsb_v1_010.m4a	7.659	125865	expected_reference_from_manifest
tsb_v1_011	anshul	train	quiet	agent systems and tool calls	data/v1-small/tsb_v1-small-train/tsb_v1_011.m4a	7.061	117476	expected_reference_from_manifest
tsb_v1_012	anshul	train	quiet	messy spoken corrections	data/v1-small/tsb_v1-small-train/tsb_v1_012.m4a	9.536	159473	expected_reference_from_manifest
tsb_v1_013	anshul	train	quiet	commands and file names	data/v1-small/tsb_v1-small-train/tsb_v1_013.m4a	8.341	138634	expected_reference_from_manifest
tsb_v1_014	anshul	train	quiet	observability and metrics	data/v1-small/tsb_v1-small-train/tsb_v1_014.m4a	9.621	162254	expected_reference_from_manifest
tsb_v1_015	anshul	train	quiet	data pipelines and queues	data/v1-small/tsb_v1-small-train/tsb_v1_015.m4a	8.341	137114	expected_reference_from_manifest
tsb_v1_016	anshul	train	quiet	vector databases and retrieval	data/v1-small/tsb_v1-small-train/tsb_v1_016.m4a	9.621	159181	expected_reference_from_manifest
tsb_v1_017	anshul	train	quiet	LLM infra and serving	data/v1-small/tsb_v1-small-train/tsb_v1_017.m4a	9.195	155537	expected_reference_from_manifest
tsb_v1_018	anshul	train	quiet	backend services and deployment	data/v1-small/tsb_v1-small-train/tsb_v1_018.m4a	8.597	142887	expected_reference_from_manifest
tsb_v1_019	anshul	train	quiet	configuration and environment files	data/v1-small/tsb_v1-small-train/tsb_v1_019.m4a	9.451	158187	expected_reference_from_manifest
tsb_v1_020	anshul	train	quiet	CI/CD and testing	data/v1-small/tsb_v1-small-train/tsb_v1_020.m4a	6.635	109348	expected_reference_from_manifest
tsb_v1_021	anshul	train	quiet	commands and file names	data/v1-small/tsb_v1-small-train/tsb_v1_021.m4a	7.488	124417	expected_reference_from_manifest
tsb_v1_022	anshul	train	quiet	AI evals and model behavior	data/v1-small/tsb_v1-small-train/tsb_v1_022.m4a	7.659	126082	expected_reference_from_manifest
tsb_v1_023	anshul	train	quiet	backend services and deployment	data/v1-small/tsb_v1-small-train/tsb_v1_023.m4a	7.488	123839	expected_reference_from_manifest
tsb_v1_024	anshul	train	quiet	messy spoken corrections	data/v1-small/tsb_v1-small-train/tsb_v1_024.m4a	9.280	157634	expected_reference_from_manifest
tsb_v1_025	anshul	train	quiet	vector databases and retrieval	data/v1-small/tsb_v1-small-train/tsb_v1_025.m4a	8.512	144054	expected_reference_from_manifest
tsb_v1_026	anshul	train	quiet	configuration and environment files	data/v1-small/tsb_v1-small-train/tsb_v1_026.m4a	7.744	130184	expected_reference_from_manifest
tsb_v1_027	anshul	train	quiet	observability and metrics	data/v1-small/tsb_v1-small-train/tsb_v1_027.m4a	8.512	141284	expected_reference_from_manifest
tsb_v1_028	anshul	train	quiet	LLM infra and serving	data/v1-small/tsb_v1-small-train/tsb_v1_028.m4a	7.915	130693	expected_reference_from_manifest
