clip_id	speaker_id	split	condition	category	audio_path	duration_seconds	size_bytes	transcript_status
tsb_v0_001	anshul	dev	quiet	ai_eval	audio/raw/tsb_v0_001.m4a	7.40	124847	expected_reference_from_plan
tsb_v0_002	anshul	dev	quiet	ai_eval	audio/raw/tsb_v0_002.m4a	9.19	155295	expected_reference_from_plan
tsb_v0_003	anshul	dev	quiet	ai_eval	audio/raw/tsb_v0_003.m4a	8.00	132550	expected_reference_from_plan
tsb_v0_004	anshul	dev	quiet	ai_eval	audio/raw/tsb_v0_004.m4a	5.87	94755	expected_reference_from_plan
tsb_v0_005	anshul	dev	quiet	ai_eval	audio/raw/tsb_v0_005.m4a	6.46	107969	expected_reference_from_plan
tsb_v0_006	anshul	dev	quiet	ai_eval	audio/raw/tsb_v0_006.m4a	4.76	78057	expected_reference_from_plan
tsb_v0_007	anshul	dev	quiet	ai_eval	audio/raw/tsb_v0_007.m4a	5.61	93175	expected_reference_from_plan
tsb_v0_008	anshul	dev	quiet	ai_eval	audio/raw/tsb_v0_008.m4a	5.78	96708	expected_reference_from_plan
tsb_v0_009	anshul	dev	quiet	ai_eval	audio/raw/tsb_v0_009.m4a	6.12	101925	expected_reference_from_plan
tsb_v0_010	anshul	dev	quiet	ai_eval	audio/raw/tsb_v0_010.m4a	5.44	90642	expected_reference_from_plan
tsb_v0_011	anshul	dev	quiet	llm_infra	audio/raw/tsb_v0_011.m4a	8.26	140070	expected_reference_from_plan
tsb_v0_012	anshul	dev	quiet	llm_infra	audio/raw/tsb_v0_012.m4a	6.12	103269	expected_reference_from_plan
tsb_v0_013	anshul	dev	quiet	llm_infra	audio/raw/tsb_v0_013.m4a	5.35	89860	expected_reference_from_plan
tsb_v0_014	anshul	dev	quiet	llm_infra	audio/raw/tsb_v0_014.m4a	7.49	125062	expected_reference_from_plan
tsb_v0_015	anshul	dev	quiet	llm_infra	audio/raw/tsb_v0_015.m4a	5.10	85412	expected_reference_from_plan
tsb_v0_016	anshul	dev	quiet	llm_infra	audio/raw/tsb_v0_016.m4a	5.44	90558	expected_reference_from_plan
tsb_v0_017	anshul	dev	quiet	llm_infra	audio/raw/tsb_v0_017.m4a	6.21	106767	expected_reference_from_plan
tsb_v0_018	anshul	dev	quiet	llm_infra	audio/raw/tsb_v0_018.m4a	4.50	76072	expected_reference_from_plan
tsb_v0_019	anshul	dev	quiet	llm_infra	audio/raw/tsb_v0_019.m4a	6.04	100962	expected_reference_from_plan
tsb_v0_020	anshul	dev	quiet	llm_infra	audio/raw/tsb_v0_020.m4a	5.27	89414	expected_reference_from_plan
tsb_v0_021	anshul	dev	quiet	agent_systems	audio/raw/tsb_v0_021.m4a	5.70	96326	expected_reference_from_plan
tsb_v0_022	anshul	dev	quiet	agent_systems	audio/raw/tsb_v0_022.m4a	5.01	84836	expected_reference_from_plan
tsb_v0_023	anshul	dev	quiet	agent_systems	audio/raw/tsb_v0_023.m4a	5.27	90367	expected_reference_from_plan
tsb_v0_024	anshul	dev	quiet	agent_systems	audio/raw/tsb_v0_024.m4a	5.18	87322	expected_reference_from_plan
tsb_v0_025	anshul	dev	quiet	agent_systems	audio/raw/tsb_v0_025.m4a	6.21	105824	expected_reference_from_plan
tsb_v0_026	anshul	dev	quiet	agent_systems	audio/raw/tsb_v0_026.m4a	5.95	100345	expected_reference_from_plan
