term	split	kind
LoRA	train	real
requirements.txt	train	real
OpenAPI	train	real
JWT	train	real
CI/CD	train	real
Dockerfile	train	real
.env	train	real
tsconfig.json	train	real
pytest -k	train	real
FastAPI	train	real
Redis	train	real
Celery	train	real
Kubernetes	train	real
Helm	train	real
Prometheus	train	real
Grafana	train	real
GitHub Actions	train	real
Uvicorn	train	real
Poetry	train	real
mypy	train	real
Nginx	train	real
Ruff	train	real
Docker Compose	train	real
Postgres	train	real
Makefile	train	real
WebSocket	train	real
Pydantic	train	real
Alembic	train	real
p95	train	real
p99	train	real
DSN	train	real
Qdrant	heldout_real	real
pgvector	heldout_real	real
Dagster	heldout_real	real
Sentry	heldout_real	real
Modal	heldout_real	real
vLLM	heldout_real	real
LangGraph	heldout_real	real
OpenTelemetry	heldout_real	real
WhisperX	heldout_real	real
Neon	heldout_real	real
Milvus	heldout_real	real
Airflow	heldout_real	real
dbt	heldout_real	real
Triton	heldout_real	real
ONNX Runtime	heldout_real	real
Tavily	heldout_real	real
Great Expectations	heldout_real	real
Weaviate	heldout_real	real
Ray Serve	heldout_real	real
Temporal	heldout_real	real
MLflow	heldout_real	real
Evidently	heldout_real	real
Pinecone	heldout_real	real
Kafka	heldout_real	real
Arize	heldout_real	real
LanceDB	heldout_real	real
Chroma	heldout_real	real
Prefect	heldout_real	real
Redpanda	heldout_real	real
TensorRT	heldout_real	real
BentoML	heldout_real	real
Honeycomb	heldout_real	real
Datadog	heldout_real	real
DSPy	heldout_real	real
DeepEval	heldout_real	real
W&B	heldout_real	real
TraceNest	heldout_fake	fake
QueueLoom	heldout_fake	fake
SchemaHawk	heldout_fake	fake
CacheWeaver	heldout_fake	fake
TokenHarbor	heldout_fake	fake
DriftPilot	heldout_fake	fake
PromptForge	heldout_fake	fake
EvalSage	heldout_fake	fake
ModelCrate	heldout_fake	fake
RelayMint	heldout_fake	fake
LogVine	heldout_fake	fake
CacheRiver	heldout_fake	fake
RAGStone	heldout_fake	fake
VectorNook	heldout_fake	fake
ConfigOtter	heldout_fake	fake
StreamLatch	heldout_fake	fake
ToolSparrow	heldout_fake	fake
QueryMosaic	heldout_fake	fake
VectorNest	heldout_fake	fake
RAGStack	heldout_fake	fake
SignalKite	heldout_fake	fake
VectorCove	heldout_fake	fake
PromptBeacon	heldout_fake	fake
PromptPillar	heldout_fake	fake
CacheMason	heldout_fake	fake
RouteWarden	heldout_fake	fake
LatticeForge	heldout_fake	fake
EvalSpire	heldout_fake	fake
ShardMason	heldout_fake	fake
StreamHarbor	heldout_fake	fake
QueryCrest	heldout_fake	fake
DriftAnchor	heldout_fake	fake
